epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,7081.78,0.81019,1.93185,0.47791,0.5668,1.13338,0.92799,0.99154,0.98429,0.76465,0.92799,0.99154,0.98429,0.68558,0.93566,1.48298,0.35531,0.66197,1.22131,0.0011486,0.0011486,0.0011486
88,7145.43,0.75749,1.61491,0.45032,0.51417,1.08778,0.92749,0.98425,0.9868,0.75683,0.92749,0.98425,0.9868,0.67054,0.93217,1.49665,0.36203,0.62159,1.25009,0.0011387,0.0011387,0.0011387
89,7208.4,0.80971,1.58873,0.46364,0.51931,1.10352,0.92793,0.99071,0.9884,0.7586,0.92793,0.99071,0.9884,0.61335,0.94561,1.60864,0.37566,0.57834,1.30308,0.0011288,0.0011288,0.0011288
90,7272.02,0.84656,1.75131,0.44036,0.5597,1.15341,0.92813,0.9936,0.98824,0.72788,0.89223,0.95544,0.94713,0.64153,0.98093,1.59268,0.3649,0.58337,1.30049,0.0011189,0.0011189,0.0011189
91,7337.46,0.84581,1.79447,0.4675,0.52657,1.1246,0.95716,0.92308,0.97721,0.72114,0.95716,0.92308,0.97336,0.63885,1.05004,1.64504,0.35405,0.65202,1.32921,0.001109,0.001109,0.001109
92,7400.14,0.7986,1.66946,0.48444,0.50967,1.09475,0.95628,0.92308,0.97108,0.7426,0.95628,0.92308,0.94176,0.64597,1.01199,1.69222,0.35339,0.69807,1.31642,0.0010991,0.0010991,0.0010991
93,7463.06,0.84152,1.41275,0.44194,0.54059,1.14543,0.9596,0.91391,0.97108,0.71946,0.9596,0.91391,0.93735,0.65021,0.94572,1.76478,0.35827,0.70345,1.28642,0.0010892,0.0010892,0.0010892
94,7525.96,0.77439,1.74305,0.44082,0.54037,1.08672,0.95981,0.92308,0.96392,0.72228,0.95981,0.92308,0.92424,0.66888,0.9224,1.74362,0.35702,0.71674,1.24289,0.0010793,0.0010793,0.0010793
95,7588.6,0.78648,1.54772,0.42473,0.51542,1.11478,0.95877,0.92308,0.941,0.71307,0.95877,0.92308,0.941,0.66686,0.95246,1.96893,0.35955,0.84086,1.2541,0.0010694,0.0010694,0.0010694
96,7651.67,0.78644,1.76401,0.50209,0.53731,1.09909,0.95962,0.9143,0.94058,0.71611,0.95309,0.88462,0.90843,0.65736,0.99896,2.0693,0.36666,0.95129,1.2777,0.0010595,0.0010595,0.0010595
